鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
北投區,房地(土地+建物),臺北市北投區建民路110巷1~30號,24.86,住,,,1050813,土地4建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0700114,99.02,3,1,2,有,無,15000000,151485,,0.0,0,含增建或未登記建物。,RPPNMLLLRHLFFEA87CA
北投區,房地(土地+建物),臺北市北投區石牌路二段315巷28弄1~30號,10.03,住,,,1050902,土地1建物1車位0,一層,五層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0811009,41.24,1,1,1,有,有,5480000,132881,,0.0,0,內含獨立產權公設，未包含在棟數內。含增建或未登記建物。,RPVOMLKLRHLFFEA48CA
北投區,房地(土地+建物),臺北市北投區中央北路四段138巷1~30號,30.3,住,,,1050811,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0730809,121.44,3,2,2,有,無,12200000,100461,,0.0,0,,RPTOMLMLRHLFFEA48CA
北投區,土地,八仙段二小段61~90地號,633.23,農,,,1050823,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,52944726,83611,,0.0,0,**部份申請農用證明不課徵土地增值稅。含增建或未登記建物。,RPSQMLQLRHLFFEA98CA
北投區,土地,八仙段二小段61~90地號,622.59,農,,,1050823,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,52055274,83611,,0.0,0,**部份申請農用證明不課徵土地增值稅。權利人共2人。含增建或未登記建物。,RPTQMLQLRHLFFEA09CA
士林區,房地(土地+建物)+車位,臺北市士林區文林路541~570號,22.5,商,,,980801,土地1建物1車位1,十五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1050517,195.03,3,2,2,有,有,24100000,139003,坡道平面,36.76,2100000,權利人共2人 買賣價為預售屋價格,RPRPMLNJIILFFEA47CA
北投區,房地(土地+建物)+車位,臺北市北投區溫泉路121~150號,142.06,其他,,,1050706,土地1建物1車位2,四層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1030828,278.53999999999996,2,2,3,有,有,51360000,220834,坡道平面,70.42,5400000,,RPOQMLQJIILFFEA57CA
北投區,房地(土地+建物)+車位,臺北市北投區石牌路二段315巷31~60號,36.49,住,,,1050831,土地1建物1車位1,三層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1040527,141.87,2,2,2,有,有,23000000,162120,坡道平面,7.87,0,,RPTOMLTKIILFFEA28CA
大安區,房地(土地+建物),臺北市大安區大安路一段51巷31~60號,6.45,商,,,1050813,土地1建物1車位0,四層,六層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,0930311,35.05,2,1,2,有,無,12250000,349501,,0.0,0,含增建或未登記建物。,RPOOMLKLRHLFFFA87CA
大安區,車位,臺北市大安區光復南路61~90號,0.14,住,,,1050907,土地0建物0車位1,一層,十三層,其他,見其他登記事項,鋼筋混凝土造,0940126,38.760000000000005,0,0,0,有,有,2500000,,坡道平面,38.76,2500000,,RPROMLQLRHLFFFA78CA
